CMDLINE python simulation.py
MEM 1.945312 1562420823.1870
MEM 25.976562 1562420823.3010
MEM 50.691406 1562420823.4148
MEM 73.074219 1562420823.5332
MEM 88.937500 1562420823.6624
MEM 92.972656 1562420823.7989
MEM 92.972656 1562420823.9293
MEM 93.464844 1562420824.0657
MEM 93.464844 1562420824.2035
MEM 93.464844 1562420824.3400
MEM 93.464844 1562420824.4613
MEM 93.464844 1562420824.5915
MEM 93.464844 1562420824.7212
MEM 93.464844 1562420824.8553
MEM 93.464844 1562420824.9766
MEM 93.464844 1562420825.0987
MEM 93.464844 1562420825.2351
MEM 93.464844 1562420825.4071
MEM 93.464844 1562420825.5443
MEM 93.464844 1562420825.6913
MEM 93.464844 1562420825.8074
MEM 93.464844 1562420825.9366
MEM 93.464844 1562420826.0678
MEM 93.464844 1562420826.2000
MEM 93.464844 1562420826.3204
MEM 93.464844 1562420826.4511
MEM 93.464844 1562420826.5827
MEM 93.464844 1562420826.7261
MEM 93.464844 1562420826.8414
MEM 93.464844 1562420826.9777
MEM 93.464844 1562420827.1136
MEM 93.464844 1562420827.2514
MEM 93.464844 1562420827.3712
MEM 93.464844 1562420827.4895
MEM 93.464844 1562420827.6180
MEM 93.464844 1562420827.7548
MEM 93.464844 1562420827.8715
MEM 93.464844 1562420827.9973
MEM 93.464844 1562420828.1320
MEM 93.464844 1562420828.2676
MEM 93.464844 1562420828.3906
MEM 93.464844 1562420828.5085
MEM 93.464844 1562420828.6429
MEM 93.464844 1562420828.7791
MEM 93.464844 1562420828.9093
MEM 93.464844 1562420829.0266
MEM 93.464844 1562420829.1587
MEM 93.464844 1562420829.2952
MEM 93.464844 1562420829.4147
MEM 93.464844 1562420829.5348
MEM 93.464844 1562420829.6611
MEM 93.464844 1562420829.7937
MEM 93.464844 1562420829.9090
MEM 93.464844 1562420830.0302
MEM 93.464844 1562420830.1668
MEM 93.464844 1562420830.3603
MEM 93.464844 1562420830.4946
MEM 93.464844 1562420830.6339
MEM 93.464844 1562420830.7658
MEM 93.464844 1562420830.8879
