CMDLINE python3 simulation.py
MEM 1.468750 1568892426.6726
MEM 21.578125 1568892426.7961
MEM 37.492188 1568892426.9059
MEM 46.539062 1568892427.0198
MEM 68.945312 1568892427.1382
MEM 80.476562 1568892427.2477
MEM 86.437500 1568892427.3669
MEM 91.609375 1568892427.4768
MEM 98.144531 1568892427.5947
MEM 98.144531 1568892427.7121
MEM 98.144531 1568892427.8301
MEM 99.746094 1568892427.9470
MEM 104.207031 1568892428.0636
MEM 110.394531 1568892428.1774
MEM 117.097656 1568892428.2871
MEM 123.800781 1568892428.3966
MEM 130.503906 1568892428.5070
MEM 137.324219 1568892428.6166
MEM 144.027344 1568892428.7271
MEM 150.214844 1568892428.8366
MEM 157.175781 1568892428.9463
MEM 258.507812 1568892429.0651
MEM 267.902344 1568892429.1860
MEM 162.492188 1568892429.3026
MEM 208.527344 1568892429.4234
MEM 209.300781 1568892429.5633
MEM 209.300781 1568892429.6885
MEM 186.285156 1568892429.8209
MEM 229.261719 1568892429.9389
MEM 229.261719 1568892430.0653
MEM 229.261719 1568892430.1947
MEM 205.175781 1568892430.3256
MEM 250.113281 1568892430.4586
MEM 277.187500 1568892430.5915
MEM 277.187500 1568892430.7153
MEM 316.437500 1568892430.8498
MEM 326.695312 1568892430.9881
MEM 355.519531 1568892431.1065
MEM 245.546875 1568892431.2239
MEM 257.921875 1568892431.3517
MEM 234.882812 1568892431.4768
MEM 278.968750 1568892431.5867
MEM 233.742188 1568892431.7115
MEM 253.125000 1568892431.8357
MEM 253.125000 1568892431.9637
MEM 253.125000 1568892432.0913
MEM 253.125000 1568892432.2078
MEM 253.125000 1568892432.3196
MEM 253.125000 1568892432.4445
MEM 253.125000 1568892432.5572
MEM 253.125000 1568892432.6788
MEM 253.125000 1568892432.8037
MEM 253.125000 1568892432.9271
MEM 253.125000 1568892433.0523
MEM 253.125000 1568892433.1643
MEM 253.351562 1568892433.3052
MEM 253.351562 1568892433.4302
MEM 253.351562 1568892433.5627
MEM 253.351562 1568892433.6908
MEM 253.351562 1568892433.8194
MEM 253.351562 1568892433.9332
MEM 253.351562 1568892434.0602
MEM 253.351562 1568892434.1782
MEM 253.351562 1568892434.2993
MEM 253.351562 1568892434.4217
MEM 253.351562 1568892434.5430
MEM 253.351562 1568892434.6581
MEM 253.351562 1568892434.7804
MEM 253.351562 1568892434.9004
MEM 253.351562 1568892435.0277
MEM 253.351562 1568892435.1542
MEM 253.351562 1568892435.2722
MEM 253.351562 1568892435.3829
MEM 253.351562 1568892435.5096
MEM 253.351562 1568892435.6333
MEM 253.351562 1568892435.7584
MEM 253.351562 1568892435.8821
MEM 253.351562 1568892436.0076
MEM 253.351562 1568892436.1289
MEM 253.351562 1568892436.2479
MEM 253.351562 1568892436.3747
MEM 253.351562 1568892436.4911
MEM 253.351562 1568892436.6031
MEM 253.351562 1568892436.7283
MEM 253.351562 1568892436.8452
MEM 253.351562 1568892436.9693
MEM 253.351562 1568892437.0957
MEM 253.351562 1568892437.2065
MEM 253.351562 1568892437.3173
MEM 253.351562 1568892437.4412
MEM 253.351562 1568892437.5758
MEM 253.351562 1568892437.7032
MEM 253.351562 1568892437.8267
MEM 253.351562 1568892437.9533
MEM 253.351562 1568892438.0801
MEM 253.351562 1568892438.2072
MEM 253.351562 1568892438.3313
MEM 253.351562 1568892438.4523
MEM 253.351562 1568892438.5672
MEM 253.351562 1568892438.6904
MEM 253.351562 1568892438.8050
MEM 253.351562 1568892438.9294
MEM 253.351562 1568892439.0528
MEM 253.351562 1568892439.1761
MEM 253.351562 1568892439.3026
