   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       10    0.006    0.001   46.318    4.632 control.py:134(getNewTraj)
      200    0.056    0.000   42.658    0.213 control.py:151(treePolicy)
     1800    0.544    0.000   23.273    0.013 classes.py:245(seqBayesianUpdate)
     3803   22.210    0.006   22.420    0.006 linalg.py:486(inv)
      200    0.006    0.000   18.686    0.093 control.py:188(getNextTheta)
      129    0.006    0.000   18.677    0.145 classes.py:140(predict)
      387    2.162    0.006   18.598    0.048 classes.py:122(getKernelMatrix)
  1324950    5.763    0.000   16.433    0.000 classes.py:118(kernel)
  1324951    6.097    0.000   10.670    0.000 linalg.py:2293(norm)
      200    0.017    0.000    3.636    0.018 control.py:205(exploreNode)
302260/620    0.700    0.000    3.497    0.006 copy.py:132(deepcopy)
 9620/620    0.129    0.000    3.473    0.006 copy.py:268(_reconstruct)
 9620/620    0.221    0.000    3.452    0.006 copy.py:236(_deepcopy_dict)
  1346174    2.837    0.000    2.837    0.000 {built-in method numpy.dot}
5000/1554    0.013    0.000    2.466    0.002 copy.py:210(_deepcopy_list)
    39211    1.827    0.000    1.827    0.000 {method '__deepcopy__' of 'numpy.ndarray' objects}
  1324975    1.123    0.000    1.123    0.000 {method 'ravel' of 'numpy.ndarray' objects}
       99    0.044    0.000    1.030    0.010 classes.py:293(kalmanFilter)
  1329623    0.448    0.000    0.966    0.000 numeric.py:469(asarray)
  1333590    0.484    0.000    0.721    0.000 linalg.py:121(isComplexType)
  1349174    0.554    0.000    0.554    0.000 {built-in method numpy.array}
  2721340    0.525    0.000    0.525    0.000 {built-in method builtins.issubclass}
      423    0.155    0.000    0.471    0.001 control.py:279(evaluateTrajectory)
     5806    0.154    0.000    0.367    0.000 functions.py:10(mapConDis)
      210    0.003    0.000    0.221    0.001 classes.py:323(__init__)
     6210    0.029    0.000    0.195    0.000 shape_base.py:286(hstack)
   612482    0.154    0.000    0.154    0.000 {method 'get' of 'dict' objects}
    75060    0.083    0.000    0.120    0.000 copy.py:252(_keep_alive)
     6210    0.015    0.000    0.084    0.000 shape_base.py:335(<listcomp>)
    243/1    0.001    0.000    0.080    0.080 <frozen importlib._bootstrap>:966(_find_and_load)
    243/1    0.001    0.000    0.080    0.080 <frozen importlib._bootstrap>:936(_find_and_load_unlocked)
    230/1    0.001    0.000    0.080    0.080 <frozen importlib._bootstrap>:651(_load_unlocked)
    179/1    0.000    0.000    0.080    0.080 <frozen importlib._bootstrap_external>:672(exec_module)
    334/1    0.000    0.000    0.080    0.080 <frozen importlib._bootstrap>:211(_call_with_frames_removed)
    200/1    0.002    0.000    0.080    0.080 {built-in method builtins.exec}
        1    0.000    0.000    0.080    0.080 control.py:1(<module>)
        1    0.000    0.000    0.079    0.079 classes.py:3(<module>)
   882/26    0.001    0.000    0.077    0.003 <frozen importlib._bootstrap>:997(_handle_fromlist)
     63/5    0.000    0.000    0.077    0.015 {built-in method builtins.__import__}
    13216    0.043    0.000    0.075    0.000 shape_base.py:25(atleast_1d)
   404287    0.074    0.000    0.074    0.000 {built-in method builtins.id}
     3807    0.072    0.000    0.072    0.000 functions.py:180(sanityCheck)
        1    0.000    0.000    0.070    0.070 __init__.py:86(<module>)
      433    0.035    0.000    0.066    0.000 control.py:241(generateTrajectory)
     7733    0.036    0.000    0.061    0.000 twodim_base.py:154(eye)
     4191    0.037    0.000    0.059    0.000 linalg.py:144(_commonType)
     4197    0.059    0.000    0.059    0.000 {method 'astype' of 'numpy.ndarray' objects}
     6479    0.058    0.000    0.058    0.000 {built-in method numpy.concatenate}
      258    0.050    0.000    0.057    0.000 linalg.py:327(solve)
    20227    0.056    0.000    0.056    0.000 {built-in method numpy.zeros}
        1    0.000    0.000    0.048    0.048 _bvp.py:1(<module>)
     9509    0.044    0.000    0.044    0.000 {method '__deepcopy__' of 'numpy.generic' objects}
    74762    0.043    0.000    0.043    0.000 {built-in method builtins.getattr}
     4449    0.023    0.000    0.043    0.000 linalg.py:116(_makearray)
    19240    0.013    0.000    0.042    0.000 copy.py:273(<genexpr>)
     9620    0.038    0.000    0.038    0.000 {method '__reduce_ex__' of 'object' objects}
   220409    0.037    0.000    0.037    0.000 copy.py:190(_deepcopy_atomic)
     2100    0.012    0.000    0.036    0.000 copy.py:219(_deepcopy_tuple)
     6469    0.013    0.000    0.030    0.000 shape_base.py:220(_warn_for_nonsequence)
       99    0.004    0.000    0.028    0.000 functions.py:194(measurePerformance)
        1    0.000    0.000    0.028    0.028 __init__.py:382(<module>)
    19062    0.028    0.000    0.028    0.000 {built-in method builtins.hasattr}
        1    0.000    0.000    0.028    0.028 classes.py:262(__init__)
      199    0.004    0.000    0.027    0.000 classes.py:88(getField)
    98940    0.027    0.000    0.027    0.000 {method 'append' of 'list' objects}
      100    0.005    0.000    0.026    0.000 functions.py:5(getMeasurement)
      177    0.016    0.000    0.026    0.000 control.py:299(bestChild)
      179    0.001    0.000    0.024    0.000 <frozen importlib._bootstrap_external>:743(get_code)
    14505    0.010    0.000    0.024    0.000 numeric.py:541(asanyarray)
      199    0.003    0.000    0.023    0.000 interpolate.py:260(__call__)
     2100    0.004    0.000    0.023    0.000 copy.py:220(<listcomp>)
     9654    0.022    0.000    0.022    0.000 {method 'update' of 'dict' objects}
     4191    0.021    0.000    0.021    0.000 linalg.py:209(_assertNdSquareness)
     6490    0.021    0.000    0.021    0.000 {method 'reshape' of 'numpy.ndarray' objects}
     9620    0.013    0.000    0.018    0.000 copyreg.py:87(__newobj__)
        1    0.000    0.000    0.017    0.017 quadrature.py:1(<module>)
        1    0.000    0.000    0.017    0.017 __init__.py:635(<module>)
     4191    0.017    0.000    0.017    0.000 linalg.py:111(get_linalg_error_extobj)
     6469    0.009    0.000    0.017    0.000 shape_base.py:209(_arrays_for_stack_dispatcher)
        6    0.000    0.000    0.016    0.003 __init__.py:1(<module>)
      179    0.000    0.000    0.015    0.000 <frozen importlib._bootstrap_external>:485(_compile_bytecode)
      202    0.001    0.000    0.014    0.000 fromnumeric.py:1966(sum)
      179    0.014    0.000    0.014    0.000 {built-in method marshal.loads}
       43    0.000    0.000    0.014    0.000 matfuncs.py:211(expm)
       43    0.000    0.000    0.014    0.000 matfuncs.py:561(expm)
       43    0.000    0.000    0.014    0.000 matfuncs.py:609(_expm)
        1    0.000    0.000    0.014    0.014 basic.py:5(<module>)
      223    0.001    0.000    0.013    0.000 fromnumeric.py:69(_wrapreduction)
      239    0.001    0.000    0.013    0.000 <frozen importlib._bootstrap>:870(_find_spec)
        1    0.000    0.000    0.013    0.013 orthogonal.py:72(<module>)
     4191    0.013    0.000    0.013    0.000 linalg.py:203(_assertRankAtLeast2)
     5836    0.013    0.000    0.013    0.000 {method 'diagonal' of 'numpy.ndarray' objects}
        1    0.000    0.000    0.012    0.012 __init__.py:184(<module>)
      230    0.000    0.000    0.012    0.000 <frozen importlib._bootstrap>:564(module_from_spec)
      233    0.012    0.000    0.012    0.000 {method 'reduce' of 'numpy.ufunc' objects}
      238    0.000    0.000    0.011    0.000 <frozen importlib._bootstrap_external>:1149(find_spec)
     4449    0.006    0.000    0.011    0.000 linalg.py:134(_realType)
        1    0.000    0.000    0.011    0.011 classes.py:157(__init__)
      238    0.001    0.000    0.011    0.000 <frozen importlib._bootstrap_external>:1117(_get_spec)
    21871    0.010    0.000    0.010    0.000 {built-in method builtins.isinstance}
      310    0.001    0.000    0.010    0.000 fromnumeric.py:1041(argmax)
     9855    0.010    0.000    0.010    0.000 {method 'items' of 'dict' objects}
      130    0.006    0.000    0.010    0.000 linalg.py:678(cholesky)
      511    0.003    0.000    0.010    0.000 fromnumeric.py:54(_wrapfunc)
        1    0.000    0.000    0.010    0.010 __init__.py:220(<module>)
        1    0.000    0.000    0.010    0.010 __init__.py:110(<module>)
      262    0.002    0.000    0.009    0.000 <frozen importlib._bootstrap_external>:1233(find_spec)
      352    0.008    0.000    0.008    0.000 {method 'uniform' of 'mtrand.RandomState' objects}
        1    0.000    0.000    0.008    0.008 _minimize.py:8(<module>)
       50    0.000    0.000    0.008    0.000 <frozen importlib._bootstrap_external>:919(create_module)
       50    0.008    0.000    0.008    0.000 {built-in method _imp.create_dynamic}
        1    0.000    0.000    0.007    0.007 _root.py:7(<module>)
    50/45    0.000    0.000    0.007    0.000 <frozen importlib._bootstrap_external>:927(exec_module)
      199    0.003    0.000    0.007    0.000 _fitpack_impl.py:991(bisplev)
    50/45    0.005    0.000    0.007    0.000 {built-in method _imp.exec_dynamic}
        1    0.000    0.000    0.006    0.006 _shgo.py:3(<module>)
      200    0.001    0.000    0.006    0.000 classes.py:131(update)
      177    0.001    0.000    0.006    0.000 fromnumeric.py:41(_wrapit)
        1    0.000    0.000    0.005    0.005 __init__.py:172(<module>)
     9667    0.005    0.000    0.005    0.000 {built-in method __new__ of type object at 0x9cff80}
       12    0.004    0.000    0.005    0.000 matfuncs.py:145(_smart_matrix_product)
        1    0.000    0.000    0.005    0.005 __init__.py:94(<module>)
        4    0.000    0.000    0.005    0.001 shape_base.py:1050(kron)
      398    0.001    0.000    0.005    0.000 fromnumeric.py:815(sort)
  231/228    0.004    0.000    0.005    0.000 {built-in method builtins.__build_class__}
      109    0.005    0.000    0.005    0.000 {built-in method builtins.print}
        1    0.000    0.000    0.005    0.005 misc.py:1(<module>)
        1    0.000    0.000    0.005    0.005 minpack.py:1(<module>)
17067/17061    0.004    0.000    0.004    0.000 {built-in method builtins.len}
        2    0.000    0.000    0.004    0.002 matfuncs.py:270(_onenormest_matrix_power)
        2    0.000    0.000    0.004    0.002 _onenormest.py:13(onenormest)
        2    0.000    0.000    0.004    0.002 _onenormest.py:325(_onenormest_core)
      179    0.002    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:830(get_data)
        1    0.000    0.000    0.004    0.004 matfuncs.py:455(d4_loose)
        1    0.002    0.002    0.004    0.004 matfuncs.py:503(pade3)
      230    0.001    0.000    0.004    0.000 <frozen importlib._bootstrap>:504(_init_module_attrs)
      762    0.000    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:75(_path_stat)
        1    0.000    0.000    0.004    0.004 lapack.py:544(<module>)
        1    0.000    0.000    0.004    0.004 interpolate.py:2(<module>)
     4194    0.004    0.000    0.004    0.000 {method '__array_prepare__' of 'numpy.ndarray' objects}
      100    0.004    0.000    0.004    0.000 {method 'normal' of 'mtrand.RandomState' objects}
        1    0.000    0.000    0.003    0.003 iterative.py:1(<module>)
        1    0.000    0.000    0.003    0.003 minimize_trustregion_constr.py:1(<module>)
      762    0.003    0.000    0.003    0.000 {built-in method posix.stat}
      259    0.000    0.000    0.003    0.000 shape_base.py:229(vstack)
        1    0.000    0.000    0.003    0.003 __init__.py:57(<module>)
      719    0.002    0.000    0.003    0.000 shape_base.py:83(atleast_2d)
        1    0.000    0.000    0.003    0.003 lsq_linear.py:1(<module>)
        6    0.000    0.000    0.003    0.000 interface.py:293(matmat)
      358    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:263(cache_from_source)
     1312    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:57(_path_join)
        1    0.001    0.001    0.002    0.002 matfuncs.py:691(_solve_P_Q)
        1    0.000    0.000    0.002    0.002 _util.py:1(<module>)
        1    0.000    0.000    0.002    0.002 matfuncs.py:467(d6_loose)
      408    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:403(cached)
        4    0.000    0.000    0.002    0.001 matfuncs.py:213(_matmat)
        1    0.000    0.000    0.002    0.002 __init__.py:151(<module>)
      200    0.002    0.000    0.002    0.000 control.py:292(backUp)
      199    0.002    0.000    0.002    0.000 {built-in method scipy.interpolate._fitpack._bispev}
       10    0.000    0.000    0.002    0.000 control.py:226(getBestTheta)
        2    0.001    0.001    0.002    0.001 functions.py:41(getPrecisionMatrix)
      243    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:147(__enter__)
        1    0.000    0.000    0.002    0.002 _spherical_voronoi.py:6(<module>)
